 ============================================
 Beta  0.800000000000000      L           8 Order           1 Seed  -478204597
 15     0.1178442315E+000+/-     0.037582%    +i  -0.9598137382E-001+/-     0.037582%
 16     0.1156060055E+000+/-     0.038547%    +i  -0.8664602565E-001+/-     0.038547%
 17     0.1182945827E+000+/-     0.038662%    +i  -0.8143277523E-001+/-     0.038662%
 18     0.1122121246E+000+/-     0.040226%    +i  -0.7077136504E-001+/-     0.040226%
 19     0.1281811965E+000+/-     0.038097%    +i  -0.7379732414E-001+/-     0.038097%
 20     0.1211575992E+000+/-     0.039621%    +i  -0.6340158632E-001+/-     0.039621%
 21     0.1201189681E+000+/-     0.040193%    +i  -0.5681966827E-001+/-     0.040194%
 22     0.1284152116E+000+/-     0.039223%    +i  -0.5458348413E-001+/-     0.039224%
 23     0.1361367456E+000+/-     0.038404%    +i  -0.5147875794E-001+/-     0.038406%
 24     0.1240433569E+000+/-     0.040522%    +i  -0.4128209960E-001+/-     0.040525%
 25     0.1274521683E+000+/-     0.040226%    +i  -0.3682011711E-001+/-     0.040231%
 26     0.1209076570E+000+/-     0.041522%    +i  -0.2971886283E-001+/-     0.041532%
 27     0.1266298845E+000+/-     0.040757%    +i  -0.2578707567E-001+/-     0.040772%
 28     0.1337224687E+000+/-     0.039809%    +i  -0.2158825025E-001+/-     0.039837%
 29     0.1374470291E+000+/-     0.039375%    +i  -0.1670802561E-001+/-     0.039430%
 30     0.1405675905E+000+/-     0.039013%    +i  -0.1146645996E-001+/-     0.039147%
 31     0.1347058836E+000+/-     0.039904%    +i  -0.5269291843E-002+/-     0.040558%
 32     0.1386725775E+000+/-     0.039344%    +i  -0.3110988016E-010+/-     0.000000%
 33     0.1347058836E+000+/-     0.039904%    +i   0.5269291783E-002+/-     0.040558%
 34     0.1405675905E+000+/-     0.039013%    +i   0.1146645990E-001+/-     0.039147%
 35     0.1374470291E+000+/-     0.039375%    +i   0.1670802555E-001+/-     0.039430%
 36     0.1337224687E+000+/-     0.039809%    +i   0.2158825019E-001+/-     0.039837%
 37     0.1266298845E+000+/-     0.040757%    +i   0.2578707561E-001+/-     0.040772%
 38     0.1209076570E+000+/-     0.041522%    +i   0.2971886278E-001+/-     0.041532%
 39     0.1274521683E+000+/-     0.040226%    +i   0.3682011706E-001+/-     0.040231%
 40     0.1240433569E+000+/-     0.040522%    +i   0.4128209955E-001+/-     0.040525%
 41     0.1361367456E+000+/-     0.038404%    +i   0.5147875788E-001+/-     0.038406%
 42     0.1284152116E+000+/-     0.039223%    +i   0.5458348407E-001+/-     0.039224%
 43     0.1201189681E+000+/-     0.040193%    +i   0.5681966821E-001+/-     0.040194%
 44     0.1211575992E+000+/-     0.039621%    +i   0.6340158626E-001+/-     0.039621%
 45     0.1281811965E+000+/-     0.038097%    +i   0.7379732408E-001+/-     0.038097%
 46     0.1122121246E+000+/-     0.040226%    +i   0.7077136499E-001+/-     0.040226%
 47     0.1182945828E+000+/-     0.038662%    +i   0.8143277517E-001+/-     0.038662%
 48     0.1156060055E+000+/-     0.038547%    +i   0.8664602560E-001+/-     0.038547%
 49     0.1178442315E+000+/-     0.037582%    +i   0.9598137377E-001+/-     0.037582%
 50     0.1048698169E+000+/-     0.039163%    +i   0.9269471949E-001+/-     0.039163%
 51     0.9748088446E-001+/-     0.039872%    +i   0.9343280929E-001+/-     0.039872%
 52     0.1039001006E+000+/-     0.037850%    +i   0.1079647459E+000+/-     0.037850%
 53     0.9558406621E-001+/-     0.038604%    +i   0.1077583991E+000+/-     0.038604%
 54     0.8762162597E-001+/-     0.039375%    +i   0.1072090853E+000+/-     0.039375%
 55     0.8305586562E-001+/-     0.039406%    +i   0.1105149373E+000+/-     0.039405%
 56     0.8365495343E-001+/-     0.038181%    +i   0.1211926583E+000+/-     0.038180%
 57     0.8486442709E-001+/-     0.036762%    +i   0.1342836818E+000+/-     0.036761%
 58     0.7318555563E-001+/-     0.038266%    +i   0.1270435637E+000+/-     0.038264%
 59     0.7311805274E-001+/-     0.036914%    +i   0.1395700645E+000+/-     0.036911%
 60     0.6766364836E-001+/-     0.036841%    +i   0.1430061091E+000+/-     0.036835%
 61     0.7152835353E-001+/-     0.034247%    +i   0.1685566414E+000+/-     0.034239%
 62     0.5887842033E-001+/-     0.035840%    +i   0.1565110308E+000+/-     0.035829%
 63     0.5205234488E-001+/-     0.035985%    +i   0.1575545009E+000+/-     0.035967%
 
 ============================================
 Beta  0.800000000000000      L           8 Order           1 Seed  -478204597
   2000000000.00000        47013846.0000000     
 (25600.0000000000,0.000000000000000E+000)
 (39760637.0000000,1.190716900454501E-002)
 (30269.9993865792,-9.064995574982184E-006)   1.00000000000000     
 Order           1
 dx = 0, dy = 0
  0     0.4512892641E-001+/-     0.045175%    +i  -0.1511507000E+000+/-     0.045175%
  1     0.5481705564E-001+/-     0.030374%    +i  -0.1658091191E+000+/-     0.030359%
  2     0.5976339969E-001+/-     0.030797%    +i  -0.1589439441E+000+/-     0.030787%
  3     0.7143817562E-001+/-     0.029676%    +i  -0.1683139046E+000+/-     0.029669%
  4     0.7061689219E-001+/-     0.031224%    +i  -0.1492828334E+000+/-     0.031219%
  5     0.7445899114E-001+/-     0.031673%    +i  -0.1421560941E+000+/-     0.031670%
  6     0.7506933317E-001+/-     0.032723%    +i  -0.1302519675E+000+/-     0.032721%
  7     0.8574636964E-001+/-     0.031671%    +i  -0.1356486518E+000+/-     0.031670%
  8     0.8539693977E-001+/-     0.032722%    +i  -0.1237284440E+000+/-     0.032721%
  9     0.8413161277E-001+/-     0.033904%    +i  -0.1119468255E+000+/-     0.033903%
 10     0.8515937998E-001+/-     0.034586%    +i  -0.1041892543E+000+/-     0.034586%
 11     0.9709472213E-001+/-     0.033168%    +i  -0.1094560470E+000+/-     0.033168%
 12     0.1042467182E+000+/-     0.032721%    +i  -0.1083257698E+000+/-     0.032721%
 13     0.9888785267E-001+/-     0.034279%    +i  -0.9478689336E-001+/-     0.034279%
 14     0.1040830168E+000+/-     0.034040%    +i  -0.9199470993E-001+/-     0.034040%
 15     0.1168176264E+000+/-     0.032686%    +i  -0.9514482861E-001+/-     0.032686%
 16     0.1163080682E+000+/-     0.033278%    +i  -0.8717220088E-001+/-     0.033278%
 17     0.1205223487E+000+/-     0.033168%    +i  -0.8296145451E-001+/-     0.033168%
 18     0.1150441248E+000+/-     0.034401%    +i  -0.7255766643E-001+/-     0.034401%
 19     0.1275011529E+000+/-     0.033077%    +i  -0.7340167303E-001+/-     0.033077%
 20     0.1206522471E+000+/-     0.034380%    +i  -0.6313910166E-001+/-     0.034381%
 21     0.1263013909E+000+/-     0.033942%    +i  -0.5973605536E-001+/-     0.033942%
 22     0.1251740726E+000+/-     0.034401%    +i  -0.5320756454E-001+/-     0.034402%
 23     0.1377590582E+000+/-     0.033059%    +i  -0.5209541202E-001+/-     0.033060%
 24     0.1205000202E+000+/-     0.035601%    +i  -0.4010548643E-001+/-     0.035604%
 25     0.1329906838E+000+/-     0.034099%    +i  -0.3841178359E-001+/-     0.034104%
 26     0.1267697565E+000+/-     0.035114%    +i  -0.3114431922E-001+/-     0.035122%
 27     0.1283836868E+000+/-     0.035050%    +i  -0.2616086942E-001+/-     0.035063%
 28     0.1331554844E+000+/-     0.034544%    +i  -0.2152916285E-001+/-     0.034568%
 29     0.1386986011E+000+/-     0.033942%    +i  -0.1680672244E-001+/-     0.033990%
 30     0.1447090843E+000+/-     0.033296%    +i  -0.1175145035E-001+/-     0.033413%
 31     0.1305987546E+000+/-     0.035093%    +i  -0.5113512880E-002+/-     0.035667%
 32     0.1438971925E+000+/-     0.033445%    +i  -0.4309307696E-010+/-     0.000000%
 33     0.1305987546E+000+/-     0.035093%    +i   0.5113512802E-002+/-     0.035667%
 34     0.1447090843E+000+/-     0.033296%    +i   0.1175145026E-001+/-     0.033413%
 35     0.1386986011E+000+/-     0.033942%    +i   0.1680672236E-001+/-     0.033990%
 36     0.1331554845E+000+/-     0.034544%    +i   0.2152916277E-001+/-     0.034568%
 37     0.1283836868E+000+/-     0.035050%    +i   0.2616086934E-001+/-     0.035063%
 38     0.1267697565E+000+/-     0.035114%    +i   0.3114431915E-001+/-     0.035122%
 39     0.1329906838E+000+/-     0.034099%    +i   0.3841178351E-001+/-     0.034104%
 40     0.1205000202E+000+/-     0.035601%    +i   0.4010548636E-001+/-     0.035604%
 41     0.1377590582E+000+/-     0.033059%    +i   0.5209541194E-001+/-     0.033060%
 42     0.1251740726E+000+/-     0.034401%    +i   0.5320756447E-001+/-     0.034402%
 43     0.1263013909E+000+/-     0.033942%    +i   0.5973605529E-001+/-     0.033942%
 44     0.1206522471E+000+/-     0.034380%    +i   0.6313910158E-001+/-     0.034381%
 45     0.1275011529E+000+/-     0.033077%    +i   0.7340167296E-001+/-     0.033077%
 46     0.1150441249E+000+/-     0.034401%    +i   0.7255766636E-001+/-     0.034401%
 47     0.1205223487E+000+/-     0.033168%    +i   0.8296145444E-001+/-     0.033168%
 48     0.1163080683E+000+/-     0.033278%    +i   0.8717220081E-001+/-     0.033278%
 49     0.1168176265E+000+/-     0.032686%    +i   0.9514482854E-001+/-     0.032686%
 50     0.1040830169E+000+/-     0.034040%    +i   0.9199470987E-001+/-     0.034040%
 51     0.9888785273E-001+/-     0.034279%    +i   0.9478689330E-001+/-     0.034279%
 52     0.1042467182E+000+/-     0.032721%    +i   0.1083257697E+000+/-     0.032721%
 53     0.9709472220E-001+/-     0.033168%    +i   0.1094560469E+000+/-     0.033168%
 54     0.8515938004E-001+/-     0.034586%    +i   0.1041892542E+000+/-     0.034586%
 55     0.8413161284E-001+/-     0.033904%    +i   0.1119468255E+000+/-     0.033903%
 56     0.8539693984E-001+/-     0.032722%    +i   0.1237284440E+000+/-     0.032721%
 57     0.8574636972E-001+/-     0.031671%    +i   0.1356486517E+000+/-     0.031670%
 58     0.7506933324E-001+/-     0.032723%    +i   0.1302519674E+000+/-     0.032721%
 59     0.7445899123E-001+/-     0.031673%    +i   0.1421560940E+000+/-     0.031670%
 60     0.7061689228E-001+/-     0.031224%    +i   0.1492828333E+000+/-     0.031219%
 61     0.7143817572E-001+/-     0.029676%    +i   0.1683139045E+000+/-     0.029669%
 62     0.5976339979E-001+/-     0.030797%    +i   0.1589439441E+000+/-     0.030787%
 63     0.5481705574E-001+/-     0.030374%    +i   0.1658091190E+000+/-     0.030359%
 
 ============================================
 Beta  0.800000000000000      L           8 Order           1 Seed  -478204597
   2500000000.00000        58806779.0000000     
 (25600.0000000000,0.000000000000000E+000)
 (49736297.0000000,1.862815091293580E-002)
 (30268.7098398178,-1.133679282227204E-005)   1.00000000000000     
 Order           1
 dx = 0, dy = 0
  0     0.4469177356E-001+/-     0.040589%    +i  -0.1496865061E+000+/-     0.040589%
  1     0.5419051672E-001+/-     0.027321%    +i  -0.1638182611E+000+/-     0.027308%
  2     0.5983374836E-001+/-     0.027522%    +i  -0.1590972986E+000+/-     0.027514%
  3     0.6896759751E-001+/-     0.027003%    +i  -0.1625111030E+000+/-     0.026997%
  4     0.6847736605E-001+/-     0.028345%    +i  -0.1448265957E+000+/-     0.028341%
  5     0.7375029439E-001+/-     0.028458%    +i  -0.1407638410E+000+/-     0.028455%
  6     0.7172451099E-001+/-     0.029936%    +i  -0.1244072352E+000+/-     0.029934%
  7     0.8519269526E-001+/-     0.028411%    +i  -0.1347594703E+000+/-     0.028409%
  8     0.8487226266E-001+/-     0.029349%    +i  -0.1229439093E+000+/-     0.029348%
  9     0.8743794777E-001+/-     0.029735%    +i  -0.1163389463E+000+/-     0.029735%
 10     0.8298416587E-001+/-     0.031327%    +i  -0.1015221332E+000+/-     0.031326%
 11     0.9367590029E-001+/-     0.030192%    +i  -0.1055977865E+000+/-     0.030192%
 12     0.1002961160E+000+/-     0.029827%    +i  -0.1042102307E+000+/-     0.029827%
 13     0.9995771863E-001+/-     0.030485%    +i  -0.9580741898E-001+/-     0.030485%
 14     0.1054771581E+000+/-     0.030233%    +i  -0.9323078310E-001+/-     0.030233%
 15     0.1151368883E+000+/-     0.029437%    +i  -0.9377793499E-001+/-     0.029437%
 16     0.1143974142E+000+/-     0.030001%    +i  -0.8574008336E-001+/-     0.030001%
 17     0.1183973699E+000+/-     0.029921%    +i  -0.8149563774E-001+/-     0.029921%
 18     0.1148285891E+000+/-     0.030787%    +i  -0.7241589958E-001+/-     0.030787%
 19     0.1262393499E+000+/-     0.029722%    +i  -0.7267491056E-001+/-     0.029722%
 20     0.1195963393E+000+/-     0.030875%    +i  -0.6258823191E-001+/-     0.030875%
 21     0.1280689301E+000+/-     0.030137%    +i  -0.6058106391E-001+/-     0.030138%
 22     0.1223376048E+000+/-     0.031113%    +i  -0.5198457538E-001+/-     0.031114%
 23     0.1355198842E+000+/-     0.029801%    +i  -0.5126215186E-001+/-     0.029802%
 24     0.1227027004E+000+/-     0.031544%    +i  -0.4084042528E-001+/-     0.031546%
 25     0.1268394144E+000+/-     0.031219%    +i  -0.3663048853E-001+/-     0.031223%
 26     0.1268334233E+000+/-     0.031388%    +i  -0.3116880685E-001+/-     0.031395%
 27     0.1301227125E+000+/-     0.031128%    +i  -0.2650283853E-001+/-     0.031140%
 28     0.1316012561E+000+/-     0.031068%    +i  -0.2126760005E-001+/-     0.031090%
 29     0.1397535733E+000+/-     0.030233%    +i  -0.1689855816E-001+/-     0.030276%
 30     0.1464676655E+000+/-     0.029591%    +i  -0.1186680013E-001+/-     0.029696%
 31     0.1302469206E+000+/-     0.031419%    +i  -0.5136113882E-002+/-     0.031931%
 32     0.1459176246E+000+/-     0.029695%    +i  -0.5465174723E-010+/-     0.000000%
 33     0.1302469206E+000+/-     0.031419%    +i   0.5136113785E-002+/-     0.031931%
 34     0.1464676655E+000+/-     0.029591%    +i   0.1186680002E-001+/-     0.029696%
 35     0.1397535734E+000+/-     0.030233%    +i   0.1689855806E-001+/-     0.030276%
 36     0.1316012561E+000+/-     0.031068%    +i   0.2126759995E-001+/-     0.031090%
 37     0.1301227125E+000+/-     0.031128%    +i   0.2650283843E-001+/-     0.031140%
 38     0.1268334233E+000+/-     0.031388%    +i   0.3116880675E-001+/-     0.031395%
 39     0.1268394144E+000+/-     0.031219%    +i   0.3663048844E-001+/-     0.031223%
