 ============================================
 Beta  0.800000000000000      L           8 Order           1 Seed  -265386710
 38     0.1338628241E+000+/-     0.068358%    +i   0.3278817795E-001+/-     0.068373%
 39     0.1286901314E+000+/-     0.069337%    +i   0.3718967584E-001+/-     0.069346%
 40     0.1185614008E+000+/-     0.071795%    +i   0.3941077832E-001+/-     0.071801%
 41     0.1379262961E+000+/-     0.066081%    +i   0.5222071250E-001+/-     0.066084%
 42     0.1363157102E+000+/-     0.065937%    +i   0.5795813946E-001+/-     0.065939%
 43     0.1298082815E+000+/-     0.066964%    +i   0.6144728523E-001+/-     0.066965%
 44     0.1118503724E+000+/-     0.071428%    +i   0.5850840503E-001+/-     0.071429%
 45     0.1183301788E+000+/-     0.068680%    +i   0.6811280316E-001+/-     0.068680%
 46     0.1067864708E+000+/-     0.071428%    +i   0.6730859023E-001+/-     0.071428%
 47     0.1411114117E+000+/-     0.061313%    +i   0.9713416633E-001+/-     0.061313%
 48     0.1144068485E+000+/-     0.067115%    +i   0.8574735660E-001+/-     0.067115%
 49     0.1153501851E+000+/-     0.065795%    +i   0.9395146321E-001+/-     0.065795%
 50     0.1061727309E+000+/-     0.067419%    +i   0.9382000729E-001+/-     0.067419%
 51     0.9900378202E-001+/-     0.068518%    +i   0.9495203471E-001+/-     0.068518%
 52     0.9687002870E-001+/-     0.067884%    +i   0.1007332097E+000+/-     0.067884%
 53     0.9107058861E-001+/-     0.068519%    +i   0.1025848648E+000+/-     0.068519%
 54     0.1063422422E+000+/-     0.061898%    +i   0.1301746889E+000+/-     0.061898%
 55     0.8058484623E-001+/-     0.069338%    +i   0.1070061749E+000+/-     0.069337%
 56     0.7061694938E-001+/-     0.071983%    +i   0.1022867704E+000+/-     0.071981%
 57     0.7505313919E-001+/-     0.067731%    +i   0.1186501206E+000+/-     0.067728%
 58     0.6855126039E-001+/-     0.068523%    +i   0.1188174109E+000+/-     0.068519%
 59     0.6909386429E-001+/-     0.065801%    +i   0.1317473282E+000+/-     0.065795%
 60     0.6952589485E-001+/-     0.062878%    +i   0.1473547535E+000+/-     0.062869%
 61     0.5898647180E-001+/-     0.065247%    +i   0.1393716736E+000+/-     0.065233%
 62     0.5445090671E-001+/-     0.064705%    +i   0.1439617729E+000+/-     0.064684%
 63     0.5644519489E-001+/-     0.059790%    +i   0.1712554416E+000+/-     0.059761%
 
 ============================================
 Beta  0.800000000000000      L           8 Order           1 Seed  -265386710
   1000000000.00000        23480315.0000000     
 (25600.0000000000,0.000000000000000E+000)
 (19843699.0000000,2.672455114270227E-003)
 (30291.5330453259,-4.079519771291971E-006)   1.00000000000000     
 Order           1
 dx = 0, dy = 0
  0     0.5056481035E-001+/-     0.060412%    +i  -0.1693536721E+000+/-     0.060412%
  1     0.5298716419E-001+/-     0.043707%    +i  -0.1604696414E+000+/-     0.043685%
  2     0.5904016758E-001+/-     0.043909%    +i  -0.1566218856E+000+/-     0.043895%
  3     0.5429717021E-001+/-     0.048123%    +i  -0.1283074821E+000+/-     0.048112%
  4     0.7017289249E-001+/-     0.044287%    +i  -0.1487597026E+000+/-     0.044281%
  5     0.6827449326E-001+/-     0.046834%    +i  -0.1302565926E+000+/-     0.046829%
  6     0.6917082062E-001+/-     0.048283%    +i  -0.1198264363E+000+/-     0.048280%
  7     0.8112252295E-001+/-     0.046079%    +i  -0.1284292988E+000+/-     0.046077%
  8     0.8003633360E-001+/-     0.047837%    +i  -0.1160091306E+000+/-     0.047836%
  9     0.8030480524E-001+/-     0.049148%    +i  -0.1066737075E+000+/-     0.049147%
 10     0.9488361044E-001+/-     0.046374%    +i  -0.1161394037E+000+/-     0.046374%
 11     0.8862005035E-001+/-     0.049147%    +i  -0.9987399883E-001+/-     0.049147%
 12     0.9657520599E-001+/-     0.048112%    +i  -0.1004272293E+000+/-     0.048112%
 13     0.9940551315E-001+/-     0.048393%    +i  -0.9531126419E-001+/-     0.048393%
 14     0.1089909737E+000+/-     0.047088%    +i  -0.9632546421E-001+/-     0.047088%
 15     0.1082780676E+000+/-     0.048056%    +i  -0.8819500021E-001+/-     0.048057%
 16     0.1122647530E+000+/-     0.047946%    +i  -0.8414102067E-001+/-     0.047946%
 17     0.1232684120E+000+/-     0.046423%    +i  -0.8485206042E-001+/-     0.046423%
 18     0.1036777150E+000+/-     0.051299%    +i  -0.6535540135E-001+/-     0.051299%
 19     0.1095746714E+000+/-     0.050507%    +i  -0.6306662824E-001+/-     0.050507%
 20     0.1157443840E+000+/-     0.049690%    +i  -0.6053885965E-001+/-     0.049690%
 21     0.1215673267E+000+/-     0.048970%    +i  -0.5752474293E-001+/-     0.048971%
 22     0.1157625088E+000+/-     0.050637%    +i  -0.4919593218E-001+/-     0.050638%
 23     0.1357413297E+000+/-     0.047140%    +i  -0.5136090309E-001+/-     0.047142%
 24     0.1312777403E+000+/-     0.048280%    +i  -0.4369966275E-001+/-     0.048284%
 25     0.1357045075E+000+/-     0.047781%    +i  -0.3923465670E-001+/-     0.047788%
 26     0.1318632761E+000+/-     0.048737%    +i  -0.3237438032E-001+/-     0.048747%
 27     0.1412780020E+000+/-     0.047298%    +i  -0.2870369842E-001+/-     0.047316%
 28     0.1241539007E+000+/-     0.050637%    +i  -0.2016421657E-001+/-     0.050672%
 29     0.1424780090E+000+/-     0.047404%    +i  -0.1725160681E-001+/-     0.047471%
 30     0.1449914632E+000+/-     0.047088%    +i  -0.1158281609E-001+/-     0.047258%
 31     0.1421107701E+000+/-     0.047619%    +i  -0.5769910857E-002+/-     0.048363%
 32     0.1406151097E+000+/-     0.047891%    +i  -0.1893737498E-010+/-     0.000000%
 33     0.1421107701E+000+/-     0.047619%    +i   0.5769910819E-002+/-     0.048363%
 34     0.1449914632E+000+/-     0.047088%    +i   0.1158281606E-001+/-     0.047258%
 35     0.1424780090E+000+/-     0.047404%    +i   0.1725160677E-001+/-     0.047471%
 36     0.1241539007E+000+/-     0.050637%    +i   0.2016421654E-001+/-     0.050672%
 37     0.1412780020E+000+/-     0.047298%    +i   0.2870369838E-001+/-     0.047316%
 38     0.1318632761E+000+/-     0.048737%    +i   0.3237438028E-001+/-     0.048747%
 39     0.1357045075E+000+/-     0.047781%    +i   0.3923465666E-001+/-     0.047788%
 40     0.1312777403E+000+/-     0.048280%    +i   0.4369966272E-001+/-     0.048284%
 41     0.1357413297E+000+/-     0.047140%    +i   0.5136090306E-001+/-     0.047142%
 42     0.1157625088E+000+/-     0.050637%    +i   0.4919593215E-001+/-     0.050638%
 43     0.1215673267E+000+/-     0.048970%    +i   0.5752474290E-001+/-     0.048971%
 44     0.1157443840E+000+/-     0.049690%    +i   0.6053885961E-001+/-     0.049690%
 45     0.1095746714E+000+/-     0.050507%    +i   0.6306662821E-001+/-     0.050507%
 46     0.1036777150E+000+/-     0.051299%    +i   0.6535540132E-001+/-     0.051299%
 47     0.1232684120E+000+/-     0.046423%    +i   0.8485206038E-001+/-     0.046423%
 48     0.1122647530E+000+/-     0.047946%    +i   0.8414102064E-001+/-     0.047946%
 49     0.1082780676E+000+/-     0.048056%    +i   0.8819500018E-001+/-     0.048057%
 50     0.1089909737E+000+/-     0.047088%    +i   0.9632546418E-001+/-     0.047088%
 51     0.9940551317E-001+/-     0.048393%    +i   0.9531126416E-001+/-     0.048393%
 52     0.9657520602E-001+/-     0.048112%    +i   0.1004272293E+000+/-     0.048112%
 53     0.8862005038E-001+/-     0.049147%    +i   0.9987399881E-001+/-     0.049147%
 54     0.9488361047E-001+/-     0.046374%    +i   0.1161394037E+000+/-     0.046374%
 55     0.8030480527E-001+/-     0.049148%    +i   0.1066737075E+000+/-     0.049147%
 56     0.8003633363E-001+/-     0.047837%    +i   0.1160091306E+000+/-     0.047836%
 57     0.8112252298E-001+/-     0.046079%    +i   0.1284292988E+000+/-     0.046077%
 58     0.6917082066E-001+/-     0.048283%    +i   0.1198264363E+000+/-     0.048280%
 59     0.6827449330E-001+/-     0.046834%    +i   0.1302565926E+000+/-     0.046829%
 60     0.7017289253E-001+/-     0.044287%    +i   0.1487597026E+000+/-     0.044281%
 61     0.5429717025E-001+/-     0.048123%    +i   0.1283074821E+000+/-     0.048112%
 62     0.5904016762E-001+/-     0.043909%    +i   0.1566218856E+000+/-     0.043895%
 63     0.5298716423E-001+/-     0.043707%    +i   0.1604696414E+000+/-     0.043685%
 
 ============================================
 Beta  0.800000000000000      L           8 Order           1 Seed  -265386710
   1500000000.00000        35280535.0000000     
 (25600.0000000000,0.000000000000000E+000)
 (29825045.0000000,6.034501337440218E-003)
 (30282.6599591048,-6.127090571848777E-006)   1.00000000000000     
 Order           1
 dx = 0, dy = 0
  0     0.4776312468E-001+/-     0.050702%    +i  -0.1599686361E+000+/-     0.050702%
  1     0.5152022664E-001+/-     0.036149%    +i  -0.1560796561E+000+/-     0.036131%
  2     0.5845625176E-001+/-     0.036002%    +i  -0.1549946197E+000+/-     0.035991%
  3     0.5545125757E-001+/-     0.038845%    +i  -0.1310122794E+000+/-     0.038837%
  4     0.6962821321E-001+/-     0.036279%    +i  -0.1474675051E+000+/-     0.036274%
  5     0.6721795731E-001+/-     0.038494%    +i  -0.1282987255E+000+/-     0.038490%
  6     0.7152659236E-001+/-     0.038722%    +i  -0.1239703416E+000+/-     0.038720%
  7     0.8048156271E-001+/-     0.037744%    +i  -0.1273336104E+000+/-     0.037742%
  8     0.7690691938E-001+/-     0.039810%    +i  -0.1114395403E+000+/-     0.039809%
  9     0.8475511121E-001+/-     0.039014%    +i  -0.1126593022E+000+/-     0.039014%
 10     0.9096316877E-001+/-     0.038633%    +i  -0.1113360005E+000+/-     0.038633%
 11     0.9058113183E-001+/-     0.039652%    +i  -0.1020809890E+000+/-     0.039652%
 12     0.9683468002E-001+/-     0.039193%    +i  -0.1006852165E+000+/-     0.039193%
 13     0.1002226184E+000+/-     0.039314%    +i  -0.9607746141E-001+/-     0.039314%
 14     0.1037066913E+000+/-     0.039375%    +i  -0.9165931835E-001+/-     0.039375%
 15     0.1048179571E+000+/-     0.039841%    +i  -0.8537615788E-001+/-     0.039841%
 16     0.1076620113E+000+/-     0.039936%    +i  -0.8069170764E-001+/-     0.039936%
 17     0.1239062490E+000+/-     0.037769%    +i  -0.8529120972E-001+/-     0.037769%
 18     0.1052823015E+000+/-     0.041522%    +i  -0.6637546438E-001+/-     0.041522%
 19     0.1063831542E+000+/-     0.041812%    +i  -0.6122337808E-001+/-     0.041812%
 20     0.1201622087E+000+/-     0.039778%    +i  -0.6287353435E-001+/-     0.039778%
 21     0.1245351903E+000+/-     0.039467%    +i  -0.5890335430E-001+/-     0.039467%
 22     0.1141517444E+000+/-     0.041594%    +i  -0.4850419223E-001+/-     0.041595%
 23     0.1302568293E+000+/-     0.039253%    +i  -0.4927238831E-001+/-     0.039255%
 24     0.1298899058E+000+/-     0.039590%    +i  -0.4325824158E-001+/-     0.039593%
 25     0.1294484926E+000+/-     0.039904%    +i  -0.3745314267E-001+/-     0.039909%
 26     0.1271225348E+000+/-     0.040488%    +i  -0.3119856637E-001+/-     0.040497%
 27     0.1322671844E+000+/-     0.039872%    +i  -0.2688397513E-001+/-     0.039887%
 28     0.1270831250E+000+/-     0.040825%    +i  -0.2064115154E-001+/-     0.040853%
 29     0.1408100965E+000+/-     0.038895%    +i  -0.1704154609E-001+/-     0.038950%
 30     0.1428770905E+000+/-     0.038691%    +i  -0.1150132217E-001+/-     0.038830%
 31     0.1449353898E+000+/-     0.038461%    +i  -0.5902869285E-002+/-     0.039056%
 32     0.1313222946E+000+/-     0.040422%    +i  -0.2657043978E-010+/-     0.000000%
 33     0.1449353898E+000+/-     0.038461%    +i   0.5902869226E-002+/-     0.039056%
 34     0.1428770905E+000+/-     0.038691%    +i   0.1150132212E-001+/-     0.038830%
 35     0.1408100965E+000+/-     0.038895%    +i   0.1704154603E-001+/-     0.038950%
 36     0.1270831250E+000+/-     0.040825%    +i   0.2064115149E-001+/-     0.040853%
 37     0.1322671844E+000+/-     0.039872%    +i   0.2688397508E-001+/-     0.039887%
 38     0.1271225349E+000+/-     0.040488%    +i   0.3119856632E-001+/-     0.040497%
 39     0.1294484926E+000+/-     0.039904%    +i   0.3745314262E-001+/-     0.039909%
 40     0.1298899058E+000+/-     0.039590%    +i   0.4325824152E-001+/-     0.039593%
 41     0.1302568293E+000+/-     0.039253%    +i   0.4927238826E-001+/-     0.039255%
 42     0.1141517444E+000+/-     0.041594%    +i   0.4850419218E-001+/-     0.041595%
 43     0.1245351904E+000+/-     0.039467%    +i   0.5890335425E-001+/-     0.039467%
 44     0.1201622087E+000+/-     0.039778%    +i   0.6287353430E-001+/-     0.039778%
 45     0.1063831542E+000+/-     0.041812%    +i   0.6122337804E-001+/-     0.041812%
 46     0.1052823015E+000+/-     0.041522%    +i   0.6637546434E-001+/-     0.041522%
 47     0.1239062490E+000+/-     0.037769%    +i   0.8529120967E-001+/-     0.037769%
 48     0.1076620113E+000+/-     0.039936%    +i   0.8069170759E-001+/-     0.039936%
 49     0.1048179571E+000+/-     0.039841%    +i   0.8537615784E-001+/-     0.039841%
 50     0.1037066913E+000+/-     0.039375%    +i   0.9165931831E-001+/-     0.039375%
 51     0.1002226184E+000+/-     0.039314%    +i   0.9607746137E-001+/-     0.039314%
 52     0.9683468006E-001+/-     0.039193%    +i   0.1006852165E+000+/-     0.039193%
 53     0.9058113188E-001+/-     0.039652%    +i   0.1020809890E+000+/-     0.039652%
 54     0.9096316882E-001+/-     0.038633%    +i   0.1113360004E+000+/-     0.038633%
 55     0.8475511125E-001+/-     0.039014%    +i   0.1126593022E+000+/-     0.039014%
 56     0.7690691942E-001+/-     0.039810%    +i   0.1114395403E+000+/-     0.039809%
 57     0.8048156276E-001+/-     0.037744%    +i   0.1273336104E+000+/-     0.037742%
 58     0.7152659241E-001+/-     0.038722%    +i   0.1239703416E+000+/-     0.038720%
 59     0.6721795736E-001+/-     0.038494%    +i   0.1282987255E+000+/-     0.038490%
 60     0.6962821327E-001+/-     0.036279%    +i   0.1474675051E+000+/-     0.036274%
 61     0.5545125762E-001+/-     0.038845%    +i   0.1310122793E+000+/-     0.038837%
 62     0.5845625183E-001+/-     0.036002%    +i   0.1549946197E+000+/-     0.035991%
 63     0.5152022671E-001+/-     0.036149%    +i   0.1560796561E+000+/-     0.036131%
 
 ============================================
 Beta  0.800000000000000      L           8 Order           1 Seed  -265386710
   2000000000.00000        47077051.0000000     
 (25600.0000000000,0.000000000000000E+000)
 (39807172.0000000,1.074665037809300E-002)
 (30275.2605887200,-8.173342247287305E-006)   1.00000000000000     
 Order           1
 dx = 0, dy = 0
  0     0.4470950437E-001+/-     0.045361%    +i  -0.1497411734E+000+/-     0.045361%
  1     0.5093412396E-001+/-     0.031466%    +i  -0.1543478538E+000+/-     0.031450%
  2     0.6004878510E-001+/-     0.030739%    +i  -0.1593114819E+000+/-     0.030729%
  3     0.5770045100E-001+/-     0.032958%    +i  -0.1363626669E+000+/-     0.032951%
  4     0.6945970857E-001+/-     0.031439%    +i  -0.1471267873E+000+/-     0.031435%
  5     0.6926913625E-001+/-     0.032830%    +i  -0.1321399171E+000+/-     0.032827%
  6     0.7235718699E-001+/-     0.033335%    +i  -0.1253030962E+000+/-     0.033333%
  7     0.8141021299E-001+/-     0.032480%    +i  -0.1288479203E+000+/-     0.032478%
  8     0.7661312040E-001+/-     0.034525%    +i  -0.1110193484E+000+/-     0.034524%
  9     0.8330326221E-001+/-     0.034060%    +i  -0.1107556345E+000+/-     0.034060%
 10     0.9092697500E-001+/-     0.033445%    +i  -0.1113153535E+000+/-     0.033445%
 11     0.9336825633E-001+/-     0.033806%    +i  -0.1052259471E+000+/-     0.033806%
 12     0.9373557083E-001+/-     0.034483%    +i  -0.9744614435E-001+/-     0.034483%
 13     0.9737669304E-001+/-     0.034524%    +i  -0.9334393899E-001+/-     0.034524%
 14     0.9986205270E-001+/-     0.034731%    +i  -0.8827098204E-001+/-     0.034731%
 15     0.1015952613E+000+/-     0.035028%    +i  -0.8275077367E-001+/-     0.035028%
 16     0.1054944206E+000+/-     0.034921%    +i  -0.7906665801E-001+/-     0.034921%
 17     0.1183953938E+000+/-     0.033445%    +i  -0.8149644685E-001+/-     0.033445%
 18     0.1048558731E+000+/-     0.036014%    +i  -0.6611131776E-001+/-     0.036014%
 19     0.1088226105E+000+/-     0.035783%    +i  -0.6264380332E-001+/-     0.035783%
 20     0.1210821213E+000+/-     0.034299%    +i  -0.6336132285E-001+/-     0.034300%
 21     0.1264417139E+000+/-     0.033903%    +i  -0.5980942169E-001+/-     0.033903%
 22     0.1182312145E+000+/-     0.035377%    +i  -0.5022937224E-001+/-     0.035378%
 23     0.1282697999E+000+/-     0.034239%    +i  -0.4852093014E-001+/-     0.034241%
 24     0.1275263536E+000+/-     0.034585%    +i  -0.4245231462E-001+/-     0.034588%
 25     0.1249483324E+000+/-     0.035158%    +i  -0.3612434096E-001+/-     0.035162%
 26     0.1244422065E+000+/-     0.035422%    +i  -0.3054460781E-001+/-     0.035429%
 27     0.1299732792E+000+/-     0.034815%    +i  -0.2645005177E-001+/-     0.034829%
 28     0.1337808338E+000+/-     0.034442%    +i  -0.2170968852E-001+/-     0.034465%
 29     0.1385369956E+000+/-     0.033942%    +i  -0.1678268185E-001+/-     0.033990%
 30     0.1386191270E+000+/-     0.034001%    +i  -0.1115402333E-001+/-     0.034124%
 31     0.1493928271E+000+/-     0.032791%    +i  -0.6090679838E-002+/-     0.033297%
 32     0.1295811580E+000+/-     0.035223%    +i  -0.3498272623E-010+/-     0.000000%
 33     0.1493928271E+000+/-     0.032791%    +i   0.6090679757E-002+/-     0.033297%
 34     0.1386191270E+000+/-     0.034001%    +i   0.1115402325E-001+/-     0.034124%
 35     0.1385369956E+000+/-     0.033942%    +i   0.1678268177E-001+/-     0.033990%
 36     0.1337808338E+000+/-     0.034442%    +i   0.2170968845E-001+/-     0.034465%
 37     0.1299732792E+000+/-     0.034815%    +i   0.2645005170E-001+/-     0.034829%
 38     0.1244422066E+000+/-     0.035422%    +i   0.3054460774E-001+/-     0.035429%
 39     0.1249483324E+000+/-     0.035158%    +i   0.3612434089E-001+/-     0.035162%
 40     0.1275263536E+000+/-     0.034585%    +i   0.4245231455E-001+/-     0.034588%
 41     0.1282698000E+000+/-     0.034239%    +i   0.4852093007E-001+/-     0.034241%
 42     0.1182312145E+000+/-     0.035377%    +i   0.5022937218E-001+/-     0.035378%
 43     0.1264417139E+000+/-     0.033903%    +i   0.5980942162E-001+/-     0.033903%
 44     0.1210821213E+000+/-     0.034299%    +i   0.6336132279E-001+/-     0.034300%
 45     0.1088226105E+000+/-     0.035783%    +i   0.6264380327E-001+/-     0.035783%
 46     0.1048558731E+000+/-     0.036014%    +i   0.6611131770E-001+/-     0.036014%
 47     0.1183953939E+000+/-     0.033445%    +i   0.8149644679E-001+/-     0.033445%
 48     0.1054944207E+000+/-     0.034921%    +i   0.7906665796E-001+/-     0.034921%
 49     0.1015952613E+000+/-     0.035028%    +i   0.8275077361E-001+/-     0.035028%
 50     0.9986205275E-001+/-     0.034731%    +i   0.8827098199E-001+/-     0.034731%
 51     0.9737669309E-001+/-     0.034524%    +i   0.9334393894E-001+/-     0.034524%
 52     0.9373557088E-001+/-     0.034483%    +i   0.9744614430E-001+/-     0.034483%
 53     0.9336825639E-001+/-     0.033806%    +i   0.1052259470E+000+/-     0.033806%
 54     0.9092697506E-001+/-     0.033445%    +i   0.1113153534E+000+/-     0.033445%
 55     0.8330326227E-001+/-     0.034060%    +i   0.1107556345E+000+/-     0.034060%
 56     0.7661312046E-001+/-     0.034525%    +i   0.1110193483E+000+/-     0.034524%
 57     0.8141021306E-001+/-     0.032480%    +i   0.1288479202E+000+/-     0.032478%
 58     0.7235718706E-001+/-     0.033335%    +i   0.1253030961E+000+/-     0.033333%
 59     0.6926913632E-001+/-     0.032830%    +i   0.1321399171E+000+/-     0.032827%
 60     0.6945970865E-001+/-     0.031439%    +i   0.1471267872E+000+/-     0.031435%
 61     0.5770045107E-001+/-     0.032958%    +i   0.1363626669E+000+/-     0.032951%
 62     0.6004878519E-001+/-     0.030739%    +i   0.1593114819E+000+/-     0.030729%
 63     0.5093412404E-001+/-     0.031466%    +i   0.1543478537E+000+/-     0.031450%
 
 ============================================
 Beta  0.800000000000000      L           8 Order           1 Seed  -265386710
   2500000000.00000        58858457.0000000     
 (25600.0000000000,0.000000000000000E+000)
 (49773845.0000000,1.680698180340894E-002)
 (30272.4553266881,-1.022200727752010E-005)   1.00000000000000     
 Order           1
 dx = 0, dy = 0
  0     0.4657238946E-001+/-     0.039746%    +i  -0.1559799260E+000+/-     0.039746%
  1     0.5198537146E-001+/-     0.027856%    +i  -0.1575038723E+000+/-     0.027842%
  2     0.6181251435E-001+/-     0.027095%    +i  -0.1639854687E+000+/-     0.027086%
  3     0.5940820469E-001+/-     0.029044%    +i  -0.1404435644E+000+/-     0.029037%
  4     0.6826411667E-001+/-     0.028368%    +i  -0.1445093186E+000+/-     0.028364%
  5     0.7031442063E-001+/-     0.029138%    +i  -0.1341547305E+000+/-     0.029136%
  6     0.7404617999E-001+/-     0.029465%    +i  -0.1282866793E+000+/-     0.029463%
  7     0.8225630948E-001+/-     0.028893%    +i  -0.1302366669E+000+/-     0.028892%
  8     0.7718809203E-001+/-     0.030759%    +i  -0.1118624246E+000+/-     0.030758%
  9     0.8122456237E-001+/-     0.030846%    +i  -0.1080036682E+000+/-     0.030846%
 10     0.9070808792E-001+/-     0.029948%    +i  -0.1110235979E+000+/-     0.029948%
 11     0.9327736305E-001+/-     0.030247%    +i  -0.1051214476E+000+/-     0.030247%
 12     0.9645643836E-001+/-     0.030401%    +i  -0.1002589824E+000+/-     0.030401%
 13     0.9876087119E-001+/-     0.030657%    +i  -0.9467530478E-001+/-     0.030657%
 14     0.1005823290E+000+/-     0.030949%    +i  -0.8890060937E-001+/-     0.030949%
 15     0.1015909267E+000+/-     0.031326%    +i  -0.8274496865E-001+/-     0.031326%
 16     0.1046396575E+000+/-     0.031357%    +i  -0.7842623366E-001+/-     0.031357%
 17     0.1165052047E+000+/-     0.030151%    +i  -0.8019809695E-001+/-     0.030151%
 18     0.1078938511E+000+/-     0.031750%    +i  -0.6803418433E-001+/-     0.031750%
 19     0.1106581875E+000+/-     0.031734%    +i  -0.6369688085E-001+/-     0.031734%
 20     0.1166626333E+000+/-     0.031250%    +i  -0.6104171558E-001+/-     0.031250%
 21     0.1223961241E+000+/-     0.030816%    +i  -0.5788991757E-001+/-     0.030817%
 22     0.1181113695E+000+/-     0.031654%    +i  -0.5016662287E-001+/-     0.031655%
 23     0.1282054067E+000+/-     0.030628%    +i  -0.4848442308E-001+/-     0.030629%
 24     0.1271221987E+000+/-     0.030979%    +i  -0.4231789435E-001+/-     0.030981%
 25     0.1329095444E+000+/-     0.030485%    +i  -0.3842395428E-001+/-     0.030489%
 26     0.1278721299E+000+/-     0.031250%    +i  -0.3137832384E-001+/-     0.031257%
 27     0.1325457020E+000+/-     0.030831%    +i  -0.2698971451E-001+/-     0.030843%
 28     0.1323794166E+000+/-     0.030964%    +i  -0.2146356862E-001+/-     0.030985%
 29     0.1398994748E+000+/-     0.030206%    +i  -0.1694946221E-001+/-     0.030249%
 30     0.1390591217E+000+/-     0.030359%    +i  -0.1117922016E-001+/-     0.030468%
 31     0.1508274334E+000+/-     0.029185%    +i  -0.6103282370E-002+/-     0.029644%
 32     0.1332068948E+000+/-     0.031068%    +i  -0.4497956421E-010+/-     0.000000%
 33     0.1508274334E+000+/-     0.029185%    +i   0.6103282268E-002+/-     0.029644%
 34     0.1390591217E+000+/-     0.030359%    +i   0.1117922006E-001+/-     0.030468%
 35     0.1398994748E+000+/-     0.030206%    +i   0.1694946212E-001+/-     0.030249%
 36     0.1323794166E+000+/-     0.030964%    +i   0.2146356853E-001+/-     0.030985%
 37     0.1325457020E+000+/-     0.030831%    +i   0.2698971442E-001+/-     0.030843%
 38     0.1278721300E+000+/-     0.031250%    +i   0.3137832375E-001+/-     0.031257%
 39     0.1329095444E+000+/-     0.030485%    +i   0.3842395419E-001+/-     0.030489%
